Date Time,User,IP,Login_Status,Server_Name
2013-09-23 11:33:57,root,10.24.32.55,True,nfssrv56-stg
2013-09-23 11:34:53,root,10.24.32.55,True,nfssrv56-stg
2013-09-23 11:34:54,root,10.24.32.55,True,nfssrv56-stg
2013-09-24 11:20:03,root,10.24.32.55,True,nfssrv56-stg
2013-09-24 11:34:59,root,10.24.32.55,True,nfssrv56-stg
2013-09-24 11:35:04,root,10.24.32.55,True,nfssrv56-stg
2013-09-24 11:35:05,root,10.24.32.55,True,nfssrv56-stg
2013-09-24 11:36:16,root,10.24.32.55,True,nfssrv56-stg
2013-09-24 11:36:17,root,10.24.32.55,True,nfssrv56-stg
2013-09-25 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-09-25 11:31:43,root,10.24.32.55,True,nfssrv56-stg
2013-09-25 11:31:48,root,10.24.32.55,True,nfssrv56-stg
2013-09-25 11:31:49,root,10.24.32.55,True,nfssrv56-stg
2013-09-25 11:32:28,root,10.24.32.55,True,nfssrv56-stg
2013-09-25 11:32:29,root,10.24.32.55,True,nfssrv56-stg
2013-09-25 23:51:20,root,10.42.10.2,True,nfssrv56-stg
2013-09-26 00:48:24,kantselovich,10.42.10.2,True,nfssrv56-stg
2013-09-15 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-09-15 11:34:32,root,10.24.32.55,True,nfssrv56-stg
2013-09-15 11:34:36,root,10.24.32.55,True,nfssrv56-stg
2013-09-15 11:34:38,root,10.24.32.55,True,nfssrv56-stg
2013-09-15 11:35:42,root,10.24.32.55,True,nfssrv56-stg
2013-09-15 11:35:43,root,10.24.32.55,True,nfssrv56-stg
2013-09-16 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-09-16 11:30:53,root,10.24.32.55,True,nfssrv56-stg
2013-09-16 11:30:57,root,10.24.32.55,True,nfssrv56-stg
2013-09-16 11:30:59,root,10.24.32.55,True,nfssrv56-stg
2013-09-16 11:31:58,root,10.24.32.55,True,nfssrv56-stg
2013-09-16 11:31:59,root,10.24.32.55,True,nfssrv56-stg
2013-09-17 11:20:04,root,10.24.32.55,True,nfssrv56-stg
2013-09-17 11:28:45,root,10.24.32.55,True,nfssrv56-stg
2013-09-17 11:28:49,root,10.24.32.55,True,nfssrv56-stg
2013-09-17 11:28:50,root,10.24.32.55,True,nfssrv56-stg
2013-09-17 11:29:33,root,10.24.32.55,True,nfssrv56-stg
2013-09-17 11:29:34,root,10.24.32.55,True,nfssrv56-stg
2013-09-18 11:20:03,root,10.24.32.55,True,nfssrv56-stg
2013-09-18 11:36:07,root,10.24.32.55,True,nfssrv56-stg
2013-09-18 11:36:11,root,10.24.32.55,True,nfssrv56-stg
2013-09-18 11:36:12,root,10.24.32.55,True,nfssrv56-stg
2013-09-18 11:37:13,root,10.24.32.55,True,nfssrv56-stg
2013-09-18 11:37:14,root,10.24.32.55,True,nfssrv56-stg
2013-09-19 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-09-19 11:28:59,root,10.24.32.55,True,nfssrv56-stg
2013-09-19 11:29:03,root,10.24.32.55,True,nfssrv56-stg
2013-09-19 11:29:04,root,10.24.32.55,True,nfssrv56-stg
2013-09-19 11:29:38,root,10.24.32.55,True,nfssrv56-stg
2013-09-19 11:29:40,root,10.24.32.55,True,nfssrv56-stg
2013-09-20 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-09-20 11:29:27,root,10.24.32.55,True,nfssrv56-stg
2013-09-20 11:29:32,root,10.24.32.55,True,nfssrv56-stg
2013-09-20 11:29:33,root,10.24.32.55,True,nfssrv56-stg
2013-09-20 11:30:11,root,10.24.32.55,True,nfssrv56-stg
2013-09-20 11:30:12,root,10.24.32.55,True,nfssrv56-stg
2013-09-21 11:20:04,root,10.24.32.55,True,nfssrv56-stg
2013-09-21 11:32:38,root,10.24.32.55,True,nfssrv56-stg
2013-09-21 11:32:44,root,10.24.32.55,True,nfssrv56-stg
2013-09-21 11:32:45,root,10.24.32.55,True,nfssrv56-stg
2013-09-21 11:33:57,root,10.24.32.55,True,nfssrv56-stg
2013-09-21 11:33:59,root,10.24.32.55,True,nfssrv56-stg
2013-09-10 11:20:03,root,10.24.32.55,True,nfssrv56-stg
2013-09-10 11:29:04,root,10.24.32.55,True,nfssrv56-stg
2013-09-10 11:29:08,root,10.24.32.55,True,nfssrv56-stg
2013-09-10 11:29:10,root,10.24.32.55,True,nfssrv56-stg
2013-09-10 11:29:44,root,10.24.32.55,True,nfssrv56-stg
2013-09-10 11:29:45,root,10.24.32.55,True,nfssrv56-stg
2013-09-11 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-09-11 11:30:21,root,10.24.32.55,True,nfssrv56-stg
2013-09-11 11:30:25,root,10.24.32.55,True,nfssrv56-stg
2013-09-11 11:30:26,root,10.24.32.55,True,nfssrv56-stg
2013-09-11 11:31:01,root,10.24.32.55,True,nfssrv56-stg
2013-09-11 11:31:03,root,10.24.32.55,True,nfssrv56-stg
2013-09-12 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-09-12 11:29:22,root,10.24.32.55,True,nfssrv56-stg
2013-09-12 11:29:25,root,10.24.32.55,True,nfssrv56-stg
2013-09-12 11:29:26,root,10.24.32.55,True,nfssrv56-stg
2013-09-12 11:30:03,root,10.24.32.55,True,nfssrv56-stg
2013-09-12 11:30:04,root,10.24.32.55,True,nfssrv56-stg
2013-09-13 11:20:03,root,10.24.32.55,True,nfssrv56-stg
2013-09-13 11:29:06,root,10.24.32.55,True,nfssrv56-stg
2013-09-13 11:29:10,root,10.24.32.55,True,nfssrv56-stg
2013-09-13 11:29:11,root,10.24.32.55,True,nfssrv56-stg
2013-09-13 11:29:45,root,10.24.32.55,True,nfssrv56-stg
2013-09-13 11:29:46,root,10.24.32.55,True,nfssrv56-stg
2013-09-14 11:20:03,root,10.24.32.55,True,nfssrv56-stg
2013-09-14 11:29:02,root,10.24.32.55,True,nfssrv56-stg
2013-09-14 11:29:06,root,10.24.32.55,True,nfssrv56-stg
2013-09-14 11:29:07,root,10.24.32.55,True,nfssrv56-stg
2013-09-14 11:29:44,root,10.24.32.55,True,nfssrv56-stg
2013-09-14 11:29:44,root,10.24.32.55,True,nfssrv56-stg
2013-08-25 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-08-25 11:26:51,root,10.24.32.55,True,nfssrv56-stg
2013-08-25 11:26:53,root,10.24.32.55,True,nfssrv56-stg
2013-08-25 11:26:54,root,10.24.32.55,True,nfssrv56-stg
2013-08-25 11:27:39,root,10.24.32.55,True,nfssrv56-stg
2013-08-25 11:27:40,root,10.24.32.55,True,nfssrv56-stg
2013-08-26 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-08-26 11:25:12,root,10.24.32.55,True,nfssrv56-stg
2013-08-26 11:25:15,root,10.24.32.55,True,nfssrv56-stg
2013-08-26 11:25:16,root,10.24.32.55,True,nfssrv56-stg
2013-08-26 11:25:42,root,10.24.32.55,True,nfssrv56-stg
2013-08-26 11:25:43,root,10.24.32.55,True,nfssrv56-stg
2013-08-26 23:16:01,pong,10.42.10.18,True,nfssrv56-stg
2013-08-27 01:06:18,pong,10.42.10.18,True,nfssrv56-stg
2013-08-27 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-08-27 11:25:48,root,10.24.32.55,True,nfssrv56-stg
2013-08-27 11:25:50,root,10.24.32.55,True,nfssrv56-stg
2013-08-27 11:25:51,root,10.24.32.55,True,nfssrv56-stg
2013-08-27 11:26:19,root,10.24.32.55,True,nfssrv56-stg
2013-08-27 11:26:20,root,10.24.32.55,True,nfssrv56-stg
2013-08-28 11:20:03,root,10.24.32.55,True,nfssrv56-stg
2013-08-28 11:25:47,root,10.24.32.55,True,nfssrv56-stg
2013-08-28 11:25:51,root,10.24.32.55,True,nfssrv56-stg
2013-08-28 11:25:52,root,10.24.32.55,True,nfssrv56-stg
2013-08-28 11:26:18,root,10.24.32.55,True,nfssrv56-stg
2013-08-28 11:26:19,root,10.24.32.55,True,nfssrv56-stg
2013-08-29 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-08-29 11:26:12,root,10.24.32.55,True,nfssrv56-stg
2013-08-29 11:26:14,root,10.24.32.55,True,nfssrv56-stg
2013-08-29 11:26:15,root,10.24.32.55,True,nfssrv56-stg
2013-08-29 11:26:43,root,10.24.32.55,True,nfssrv56-stg
2013-08-29 11:26:44,root,10.24.32.55,True,nfssrv56-stg
2013-08-30 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-08-30 11:25:49,root,10.24.32.55,True,nfssrv56-stg
2013-08-30 11:25:51,root,10.24.32.55,True,nfssrv56-stg
2013-08-30 11:25:52,root,10.24.32.55,True,nfssrv56-stg
2013-08-30 11:26:21,root,10.24.32.55,True,nfssrv56-stg
2013-08-30 11:26:22,root,10.24.32.55,True,nfssrv56-stg
2013-08-31 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-08-31 11:26:22,root,10.24.32.55,True,nfssrv56-stg
2013-08-31 11:26:24,root,10.24.32.55,True,nfssrv56-stg
2013-08-31 11:26:25,root,10.24.32.55,True,nfssrv56-stg
